1    556[171, 255]
2    622[173, 256]
3    583[174, 258]
4    567[175, 260]
5    661[174, 264]
6    574[175, 266]
7    557[161, 405]
8    572[176, 270]
9    565[166, 407]
10    571[153, 406]
11    599[160, 408]
12    572[156, 408]
13    1183[208, 222]
14    1628[213, 214]
15    1637[213, 197]
16    1647[214, 189]
17    1661[216, 184]
18    1704[218, 181]
19    1681[209, 178]
20    1677[249, 199]
21    1687[215, 171]
22    1703[159, 211]
23    1707[156, 211]
24    1730[155, 203]
25    1693[151, 209]
26    1693[158, 259]
27    1688[174, 164]
28    1658[154, 261]
29    1684[152, 262]
30    1670[137, 221]
31    1669[135, 222]
32    1693[140, 254]
33    1662[145, 265]
34    1674[143, 265]
35    1674[146, 272]
36    1671[145, 273]
37    1685[145, 275]
38    1678[148, 280]
39    1666[142, 276]
40    1659[295, 260]
41    1703[296, 262]
42    1666[298, 262]
43    1651[297, 266]
44    1658[293, 274]
45    1655[295, 273]
46    1649[294, 277]
47    1680[294, 279]
48    1650[198, 89]
49    1657[299, 124]
50    1678[300, 122]
51    1676[318, 246]
52    1691[319, 246]
53    1682[208, 77]
54    1672[203, 77]
55    1684[204, 75]
56    1668[192, 78]
57    1674[239, 71]
58    1692[239, 70]
59    1683[240, 69]
60    1662[241, 68]
61    1647[243, 67]
62    1644[255, 69]
63    1641[323, 264]
64    1635[214, 62]
65    1650[235, 61]
66    1653[269, 69]
67    1687[269, 68]
68    1678[90, 218]
69    1685[89, 224]
70    1663[88, 219]
71    1714[89, 234]
72    1694[88, 234]
73    1658[88, 235]
74    1637[88, 241]
75    1659[284, 319]
76    1683[285, 319]
77    1685[283, 321]
78    1677[281, 323]
79    1676[282, 323]
80    1663[276, 327]
81    1664[279, 326]
82    1649[283, 324]
83    1645[92, 266]
84    1668[283, 325]
85    1717[80, 207]
86    1691[80, 205]
87    1682[79, 208]
88    1713[309, 71]
89    1798[288, 48]
90    2962[289, 48]
91    2080[288, 47]
92    1666[318, 75]
93    1681[214, 41]
94    1660[99, 286]
95    1671[99, 286]
96    1704[77, 225]
97    1709[103, 292]
98    1734[102, 291]
99    1689[102, 292]
100    1696[161, 55]
101    1693[105, 296]
102    1658[162, 54]
103    1681[304, 60]
104    1675[313, 65]
105    1733[315, 66]
106    1721[311, 63]
107    1721[172, 47]
108    1717[312, 63]
109    1737[312, 62]
110    1744[315, 64]
111    1733[317, 65]
112    1715[320, 67]
113    1706[306, 57]
114    1720[305, 56]
115    1721[318, 64]
116    1740[317, 63]
117    1736[316, 62]
118    1725[315, 61]
119    1724[315, 60]
120    1699[315, 59]
121    1703[316, 59]
122    1716[185, 40]
123    1713[179, 42]
124    1741[321, 62]
125    1741[327, 66]
126    1744[183, 40]
127    1722[183, 40]
128    1730[186, 39]
129    1715[186, 39]
130    1725[185, 39]
131    1711[176, 42]
132    1715[181, 40]
133    1719[176, 42]
134    1715[183, 39]
135    1717[184, 38]
136    1741[346, 273]
137    1750[175, 42]
138    1741[175, 42]
139    1749[180, 39]
140    1763[181, 38]
141    1784[181, 38]
142    1782[189, 34]
143    1774[181, 38]
144    1758[181, 37]
145    1739[179, 38]
146    1742[343, 283]
147    1709[344, 282]
148    1731[346, 280]
149    1705[263, 347]
150    1709[348, 277]
151    1720[349, 277]
152    1721[349, 276]
153    1713[356, 260]
154    1804[314, 224]
155    1925[314, 224]
156    1930[314, 223]
157    1997[312, 219]
158    2046[312, 217]
159    2036[312, 216]
160    2052[309, 214]
161    2078[304, 211]
162    2042[300, 208]
163    2049[300, 209]
164    2043[300, 210]
165    2058[301, 202]
166    2058[297, 208]
167    2131[303, 202]
168    2135[303, 203]
169    2082[297, 209]
170    2089[298, 211]
171    2082[301, 214]
172    2072[302, 214]
173    1979[301, 213]
174    1914[152, 192]
175    2037[169, 188]
176    2049[173, 186]
177    2099[172, 181]
178    2158[174, 181]
179    2189[171, 180]
180    2200[170, 180]
181    2172[159, 187]
182    2102[176, 189]
183    2076[176, 190]
184    2121[166, 194]
185    2098[167, 184]
186    1937[168, 185]
187    1922[172, 189]
188    1821[154, 204]
189    1887[154, 203]
190    1845[146, 204]
191    1860[155, 71]
192    1856[155, 71]
193    1848[155, 71]
194    1870[154, 72]
195    1845[155, 72]
196    1840[155, 72]
197    1823[155, 72]
198    1813[159, 190]
199    1804[153, 74]
200    1799[153, 74]
201    1761[154, 74]
202    1767[147, 195]
203    1768[150, 189]
204    1753[352, 210]
205    1773[352, 210]
206    1753[352, 210]
207    1728[148, 191]
208    1748[353, 210]
209    1785[353, 210]
210    1785[353, 210]
211    1821[354, 209]
212    1812[140, 163]
213    1810[353, 210]
214    1832[143, 163]
215    1847[144, 163]
216    1834[355, 208]
217    1811[353, 211]
218    1824[353, 211]
219    1849[354, 210]
220    1818[354, 211]
221    1808[355, 211]
222    1794[347, 162]
223    1800[354, 212]
224    1810[355, 211]
225    1821[146, 180]
226    1816[147, 180]
227    1833[147, 180]
228    1854[148, 180]
229    1837[148, 180]
230    1810[149, 180]
231    1816[149, 180]
232    1830[330, 115]
233    1913[330, 116]
234    1951[329, 116]
235    1966[330, 116]
236    1998[330, 114]
237    2026[331, 113]
238    1992[319, 121]
239    2054[330, 121]
240    2275[327, 124]
241    2630[327, 125]
242    2838[328, 125]
243    3027[329, 125]
244    3069[321, 126]
245    3067[332, 118]
246    3071[319, 121]
247    3031[319, 120]
248    2970[331, 115]
249    3019[320, 109]
250    3062[224, 102]
251    3071[214, 111]
252    3071[316, 102]
253    3071[227, 123]
254    3071[327, 119]
255    3071[329, 118]
256    3071[216, 117]
257    3071[328, 116]
258    3071[328, 116]
259    3071[328, 115]
260    3071[327, 114]
261    3065[328, 113]
262    3062[234, 108]
263    3053[235, 107]
264    3046[235, 105]
265    3049[235, 102]
266    2997[243, 81]
267    3065[243, 80]
268    3057[242, 80]
269    2989[229, 99]
270    2697[241, 80]
271    2422[266, 63]
272    2308[266, 63]
273    2185[266, 64]
274    2158[266, 64]
275    2084[266, 64]
276    1966[265, 65]
277    1883[264, 76]
278    1894[264, 77]
279    1904[265, 78]
280    1878[265, 78]
281    1862[265, 79]
282    1859[265, 79]
283    1861[265, 72]
284    1844[352, 162]
285    1819[264, 75]
286    1823[351, 159]
287    1838[350, 158]
288    1834[350, 156]
289    1823[264, 80]
290    1809[347, 154]
291    1856[347, 152]
292    1862[347, 150]
293    1838[346, 149]
294    1851[346, 145]
295    1857[345, 146]
296    1854[280, 90]
297    1852[279, 91]
298    1871[277, 92]
299    1875[276, 92]
300    1877[277, 93]
301    1876[276, 94]
302    1852[279, 94]
303    1840[206, 134]
304    1879[207, 133]
305    1840[209, 130]
306    1840[211, 129]
307    1875[214, 126]
308    1860[215, 126]
309    1863[218, 123]
310    1821[221, 124]
311    1846[323, 103]
312    1835[228, 121]
313    1819[259, 90]
314    1831[232, 117]
315    1809[260, 89]
316    1812[236, 108]
317    1862[250, 95]
318    1823[256, 92]
319    1840[255, 94]
320    1830[256, 94]
321    1826[264, 89]
322    1787[271, 86]
323    1758[266, 91]
324    1719[273, 89]
325    1671[283, 85]
326    1428[280, 84]
327    1376[275, 274]
328    1347[276, 274]
329    1318[278, 272]
330    1277[230, 250]
331    1369[285, 242]
332    1424[224, 251]
333    1363[228, 248]
334    1318[229, 247]
335    1328[278, 272]
336    1348[280, 270]
337    1297[282, 267]
338    1302[283, 266]
339    1278[220, 259]
340    1246[214, 258]
341    1436[213, 260]
342    1340[287, 259]
343    1478[287, 259]
344    1460[487, 289]
345    1501[485, 288]
346    1489[483, 287]
347    1495[481, 285]
348    1491[479, 285]
349    1474[476, 283]
350    1459[475, 284]
351    1429[472, 279]
352    1442[471, 280]
353    1449[468, 279]
354    1523[21, 321]
355    1522[22, 321]
356    1526[24, 322]
357    1577[27, 319]
358    1550[29, 319]
359    1572[33, 315]
360    1531[35, 314]
361    1576[37, 314]
362    1617[40, 311]
363    1591[42, 311]
364    1589[45, 308]
365    1598[47, 308]
366    1601[49, 306]
367    1597[51, 304]
368    1583[53, 301]
369    1564[55, 300]
370    1570[15, 297]
371    1546[15, 297]
372    1542[21, 294]
373    1551[21, 294]
374    1559[432, 249]
375    1565[431, 249]
376    1540[430, 248]
377    1544[429, 248]
378    1540[426, 245]
379    1553[431, 252]
380    1567[74, 285]
381    1569[75, 284]
382    1586[422, 243]
383    1629[421, 242]
384    1667[421, 242]
385    1631[418, 238]
386    1664[417, 238]
387    1658[416, 238]
388    1632[85, 273]
389    1664[85, 274]
390    1642[86, 273]
391    1661[89, 269]
392    1725[91, 266]
393    1770[92, 266]
394    1742[94, 263]
395    1757[93, 265]
396    1697[96, 262]
397    1760[97, 261]
398    1728[100, 256]
399    1735[101, 256]
400    1754[102, 256]
401    1771[103, 256]
402    1759[104, 255]
403    1742[106, 252]
404    1768[109, 250]
405    1776[110, 248]
406    1766[112, 247]
407    1791[113, 247]
408    1785[114, 244]
409    1771[116, 244]
410    1788[118, 244]
411    2099[66, 300]
412    3045[66, 301]
413    3071[61, 300]
414    3071[62, 299]
415    3071[68, 279]
416    3071[66, 279]
417    3071[60, 299]
418    3071[61, 300]
419    3071[58, 300]
420    3071[60, 300]
421    3071[66, 300]
422    3071[63, 300]
423    3071[58, 299]
424    3071[62, 300]
425    3071[58, 299]
426    3071[58, 299]
427    3071[58, 299]
428    3071[58, 299]
429    3071[58, 301]
430    2534[59, 302]
431    2108[25, 311]
432    2883[30, 279]
433    3071[29, 279]
434    2642[29, 279]
435    2414[18, 314]
436    3011[29, 271]
437    3071[28, 271]
438    2670[27, 271]
439    2490[11, 316]
440    2588[10, 317]
441    2735[9, 317]
442    2861[8, 318]
443    2889[8, 318]
444    2681[5, 319]
445    3008[56, 312]
446    3071[56, 313]
447    3071[58, 314]
448    3071[51, 315]
449    3071[54, 314]
450    3071[58, 313]
451    3071[55, 313]
452    3071[56, 313]
453    3071[53, 315]
454    3071[52, 316]
455    3071[55, 314]
456    3071[56, 316]
457    3071[59, 315]
458    3071[55, 317]
459    3071[50, 308]
460    3071[32, 328]
461    3071[51, 308]
462    3071[53, 310]
463    3071[21, 328]
464    3071[58, 304]
465    3071[58, 303]
466    3071[25, 327]
467    3071[60, 304]
468    3071[24, 328]
469    3071[26, 328]
470    3071[24, 328]
471    3071[20, 333]
472    3071[19, 334]
473    3071[19, 332]
474    3071[18, 335]
475    3063[14, 329]
476    3071[10, 328]
477    3071[17, 328]
478    3071[14, 329]
479    3071[16, 328]
480    3071[16, 328]
481    3071[16, 329]
482    3071[14, 329]
483    3071[6, 331]
484    3071[5, 332]
485    2436[5, 332]
486    1618[7, 331]
487    1397[3, 445]
488    1461[4, 446]
489    1479[4, 447]
490    1496[4, 448]
491    1497[5, 450]
492    1512[5, 450]
493    1462[6, 452]
494    1506[5, 453]
495    1539[6, 454]
496    1537[6, 455]
497    1497[7, 455]
498    1532[7, 457]
499    1480[7, 459]
500    1403[8, 459]
501    1401[8, 461]
502    1408[8, 462]
503    1317[9, 463]
504    1276[43, 393]
505    1301[42, 393]
506    1297[41, 393]
507    1326[40, 387]
508    1345[39, 386]
509    1340[37, 382]
510    1319[37, 382]
511    1254[36, 381]
512    1265[468, 430]
513    1261[35, 382]
514    1275[34, 380]
515    1286[33, 380]
516    1266[32, 379]
517    1280[31, 378]
518    1278[65, 443]
519    1297[63, 441]
520    1265[62, 440]
521    1299[60, 437]
522    1326[58, 435]
523    1310[56, 433]
524    1374[57, 436]
525    1317[56, 436]
526    1307[54, 433]
527    1342[53, 433]
528    1286[51, 428]
529    1314[50, 429]
530    1347[48, 424]
531    1313[47, 424]
532    1298[46, 423]
533    1333[45, 423]
534    1323[44, 421]
535    1351[43, 419]
536    1354[41, 416]
537    1364[40, 415]
538    1306[39, 413]
539    1337[39, 414]
540    1273[36, 407]
541    1366[36, 409]
542    1330[36, 410]
543    1313[34, 409]
544    1279[34, 409]
545    1350[32, 403]
546    1323[31, 403]
547    1305[205, 491]
548    1344[30, 402]
549    1338[29, 400]
550    1347[28, 400]
551    1362[27, 399]
552    1309[26, 398]
553    1262[68, 464]
554    1310[68, 466]
555    1337[24, 392]
556    1339[23, 389]
557    1304[22, 387]
558    1300[21, 385]
559    1317[21, 385]
560    1397[20, 384]
